pt,no_reactions
Gastroenteritis radiation,2
Gingival atrophy,1
Gitelman's syndrome,1
Haemophilus test positive,1
Hamartoma,5
Head and neck cancer stage IV,1
Hepatitis alcoholic,3
Heterophoria,1
Human anaplasmosis,2
Hyper IgE syndrome,2
Hyperamylasaemia,1
Hyperferritinaemia,1
Ileal ulcer,2
Immune-mediated myasthenia gravis,1
Immune-mediated myocarditis,1
Immunoglobulins abnormal,2
Implant site haematoma,1
Incisional drainage,2
Infected lymphocele,1
Infectious disease carrier,1
Injection site anaesthesia,2
Injection site joint infection,1
Intercepted product preparation error,1
Intestinal anastomosis,1
Intraventricular haemorrhage neonatal,1
Joint dislocation pathological,2
Jugular vein distension,2
KL-6 increased,1
Large cell lung cancer stage III,1
Laryngeal nerve dysfunction,1
Laryngeal tremor,2
Lung adenocarcinoma stage II,1
Lupus vasculitis,1
Manufacturing process control procedure issue,1
Marcus Gunn syndrome,1
Meningitis pneumococcal,3
Metastatic bronchial carcinoma,2
Mitochondrial cytopathy,8
Mole excision,1
Monocyte chemotactic protein-2 decreased,1
Myocarditis bacterial,1
Myoglobin blood increased,5
Neutrophil percentage increased,2
Noninfective myringitis,1
Ocular procedural complication,1
Oculomucocutaneous syndrome,2
Oesophageal fistula,1
Oestrogen receptor positive breast cancer,2
Orbital oedema,1
Overlap syndrome,4
Panic disorder with agoraphobia,1
Papilloma excision,1
Pelvic operation,1
Penile infection,2
Penile vascular disorder,3
Perinatal stroke,4
Peripheral artery surgery,1
Peritoneal haemorrhage,8
Peroneal nerve injury,1
Phaeochromocytoma,5
Pharyngolaryngeal abscess,1
Plasmodium vivax infection,1
Platelet anisocytosis,1
Platelet function test abnormal,1
Pleural cyst,1
Polyhydramnios,10
Post polio syndrome,1
Post transplant distal limb syndrome,2
Postmenopause,1
Premature menopause,4
Product substitution error,1
Progressive relapsing multiple sclerosis,1
Prothrombin time ratio decreased,3
Pulmonary calcification,1
Pulmonary valve incompetence,4
Pulmonary veno-occlusive disease,2
Rectal tenesmus,1
Renal oncocytoma,2
Renal salt-wasting syndrome,5
Renal transplant failure,1
Repetitive speech,1
Respiratory tract infection fungal,1
Salmonella sepsis,6
Scaphocephaly,1
Scapula fracture,6
Scoliosis surgery,1
Spinal instability,3
Spinal subdural haematoma,4
Suicide threat,4
Superior semicircular canal dehiscence,1
Sweat gland infection,7
Sympathicotonia,3
Syndactyly,14
Tachycardia foetal,5
Tarsal tunnel syndrome,2
Tenosynovitis stenosans,2
Tongue neoplasm benign,2
Troponin abnormal,2
Turner's syndrome,1
Umbilical cord prolapse,2
Urine analysis,3
Urticaria cholinergic,1
Varicella zoster virus infection,3
Vein discolouration,2
Vessel puncture site bruise,1
Viral pericarditis,1
Visual evoked potentials abnormal,3
Vulvovaginitis,3
Yellow nail syndrome,3
Prostate cancer recurrent,2
Hysteroscopy,1
Abdominal transposition,15
Abdominal wall mass,2
Aborted pregnancy,1
Abortion late,10
Achromobacter infection,8
Acne varioliformis,2
Acute endocarditis,3
Acute megakaryocytic leukaemia,2
Adenocarcinoma of salivary gland,2
Administration site inflammation,1
Advanced sleep phase,2
Aerophagia,1
Agitation postoperative,11
Agonal death struggle,1
Alagille syndrome,1
Alexander disease,1
Alpha 1 foetoprotein amniotic fluid increased,4
Alpha-1 anti-trypsin decreased,3
Anaesthetic complication foetal,1
Anal cyst,1
Anaplastic large cell lymphoma T- and null-cell types stage IV,3
Anginal equivalent,2
Angiogram abnormal,1
Anterior displaced anus,3
Anti factor Xa activity decreased,1
Anti-transglutaminase antibody,3
Antiandrogen therapy,11
Antidepressant drug level,1
Antipsychotic drug level therapeutic,1
Application site granuloma,2
Application site hypoaesthesia,2
Arteriovenous graft,1
Aspiration pleural cavity abnormal,1
Assisted delivery,1
Assisted fertilisation,2
Autoimmune retinopathy,2
Bacterial prostatitis,1
Bacteroides infection,1
Band neutrophil percentage decreased,2
Basal cell naevus syndrome,2
Benign congenital hypotonia,2
Benign fallopian tube neoplasm,4
Benign gastric neoplasm,4
Benign neoplasm of prostate,2
Beta 2 microglobulin increased,1
Biliary adenoma,4
Biopsy kidney abnormal,1
Biopsy lung normal,3
Biopsy soft tissue,2
Bladder ablation,1
Blepharorrhaphy,1
Blindness day,2
Blood follicle stimulating hormone abnormal,1
Blood glucagon decreased,2
Blood growth hormone releasing hormone increased,1
Blood ketone body present,1
Blood methanol,1
Blood pressure normal,1
Blood pressure orthostatic abnormal,2
Blood pressure orthostatic increased,1
Blount's disease,1
Body height below normal,3
Botulism,1
Brain lobectomy,1
Brain mass,1
Brain stem thrombosis,1
Breast dysplasia,1
Bronchopulmonary aspergillosis allergic,11
CD30 expression,3
CSF cell count increased,6
Candidiasis of trachea,2
Capillary disorder,3
Capillary fragility increased,2
Carbohydrate antigen 15-3 increased,5
Cardiac function disturbance postoperative,2
Cardiac malposition,8
Cardiac massage,9
Cartilage development disorder,1
Catheter site warmth,1
Central auditory processing disorder,1
Central cord syndrome,1
Central serous chorioretinopathy,2
Cerebellar haemangioma,1
Cerebellar microhaemorrhage,1
Cerebral aspergillosis,2
Cerebral calcification,1
Cerebral vasodilatation,1
Cerebrovascular insufficiency,1
Ceruloplasmin increased,1
Cervical dilatation,3
Cervix cautery,1
Chilaiditi's syndrome,8
Chitotriosidase increased,2
Chloroma,1
Chronic cheek biting,2
Coagulation time abnormal,2
Collagenous gastritis,5
Colorectal cancer stage II,3
Congenital absence of cranial vault,3
Congenital eye disorder,1
Congenital eyelid malformation,1
Congenital hepatobiliary anomaly,1
Congenital laryngeal stridor,1
Congenital musculoskeletal disorder,1
Congenital osteodystrophy,1
Congenital teratoma,2
Coombs negative haemolytic anaemia,4
Corneal neovascularisation,6
Coronary endarterectomy,1
Corpus callosotomy,1
Creatine urine abnormal,1
Creatinine renal clearance abnormal,2
Cupulolithiasis,1
Cystitis viral,1
Cytomegalovirus nephritis,1
Cytotoxic lesions of corpus callosum,2
Decreased insulin requirement,1
Dermatopathic lymphadenopathy,1
Dermatophytosis of nail,1
Developmental glaucoma,1
Device effect incomplete,1
Device inversion,1
Diabetic gangrene,2
Diabetic hyperglycaemic coma,2
Diabetic microangiopathy,1
Dolichocolon,1
Drug metabolising enzyme test abnormal,1
Drug therapeutic incompatibility,1
Duodenal atresia,1
Dysmetropsia,1
ECG signs of myocardial infarction,1
Ear infection staphylococcal,1
Ear tube insertion,1
Early infantile epileptic encephalopathy with burst-suppression,1
Eastern Cooperative Oncology Group performance status,1
Ectrodactyly,5
Eczema asteatotic,1
Electrocauterisation,2
Endometrial stromal sarcoma,1
Endoscopy abnormal,2
Enlarged clitoris,1
Enteric neuropathy,2
Enterocolitis bacterial,11
Enterovesical fistula,2
Enzyme activity normal,1
Erythema migrans,1
Exercise electrocardiogram abnormal,1
Exposure to body fluid,1
Exposure via inhalation,2
Extranodal marginal zone B-cell lymphoma (MALT type) stage I,2
Eye opacity,1
Factor II deficiency,1
Factor XIII Inhibition,1
Failed trial of labour,1
Fallopian tube enlargement,2
Fasting,1
Fatal familial insomnia,1
Fear of open spaces,1
Fever neonatal,4
Foetal cardiac disorder,1
Foetal chromosome abnormality,5
Foetal growth abnormality,1
Foetal heart rate deceleration abnormality,6
Foetal malposition,2
Foreign body in ear,2
Fundoscopy abnormal,1
Gaming disorder,1
Gardnerella infection,1
Gastric dysplasia,1
Gastric varices,1
Gastritis alcoholic,1
Gastrointestinal disorder congenital,2
Gastrointestinal fistula,5
Gastrointestinal gangrene,2
Gastrointestinal tract adenoma,1
Genital atrophy,3
Genital dysaesthesia,1
Genital macule,1
Genital swelling,3
Gestational trophoblastic tumour,2
Gigantism,1
Gingival hypoplasia,1
Glucose tolerance test abnormal,1
Glycosylated haemoglobin,2
Gonorrhoea,1
Granulocyte count decreased,1
Growth hormone-producing pituitary tumour,1
HCoV-OC43 infection,2
HER-2 protein overexpression,1
HLA-B*5701 assay positive,1
Haematotympanum,1
Haemoglobinaemia,1
Haemoglobinuria,1
Haemosiderin stain,1
Hair growth rate abnormal,2
Heat cramps,6
Hepatic cancer stage IV,2
Hepatitis D,4
Hereditary ataxia,1
Hereditary haemorrhagic telangiectasia,1
Hereditary pancreatitis,1
Herpes zoster necrotising retinopathy,1
Heteroplasia,2
High-grade B-cell lymphoma,1
Hippocampal atrophy,1
Histology abnormal,2
Hodgkin's disease nodular sclerosis,1
Human metapneumovirus test positive,1
Hypercorticoidism,2
Hypertensive cardiomyopathy,1
Hypertensive nephropathy,3
Hypervitaminosis,2
Hypocholesterolaemia,4
Hypopharyngeal cancer,1
Hypothermia neonatal,2
Idiopathic generalised epilepsy,1
Idiopathic interstitial pneumonia,5
IgA nephropathy,1
Ilium fracture,2
Implant site irritation,1
Implant site urticaria,1
In vitro fertilisation,1
Incarcerated inguinal hernia,1
Incision site haematoma,3
Increased viscosity of upper respiratory secretion,6
Infantile genetic agranulocytosis,2
Infantile spasms,2
Infantile vomiting,8
Infected naevus,2
Infertility female,1
Injection site panniculitis,1
Instillation site swelling,1
Insulinoma,1
Intestinal atresia,5
Intestinal strangulation,1
Iris disorder,3
Jaw clicking,1
Joint fluid drainage,1
Joint prosthesis user,1
Ketosis-prone diabetes mellitus,1
Kidney malformation,3
Knuckle pads,2
Lactate pyruvate ratio increased,2
Lactation insufficiency,4
Large intestinal ulcer,14
Large intestine operation,1
Laryngeal stenosis,7
Left ventricular false tendon,2
Legionella infection,2
Light chain analysis,1
Limb malformation,4
Lipid metabolism disorder,4
Liver carcinoma ruptured,1
Liver function test,2
Local anaesthesia,5
Long-chain acyl-coenzyme A dehydrogenase deficiency,3
Lymph nodes scan abnormal,1
Lymphatic fistula,2
Lymphocytic infiltration,1
Lymphoplasmacytoid lymphoma/immunocytoma,2
Magnetic resonance imaging heart,1
Malignant nipple neoplasm female,1
Mantle cell lymphoma recurrent,2
Manufacturing production issue,1
Maternal condition affecting foetus,1
Measles,4
Medical device site cellulitis,2
Medical device site erosion,8
Medical device site warmth,3
Medulloblastoma,3
Meningococcal sepsis,1
Mesothelioma malignant,1
Metastases to reproductive organ,1
Metastases to skin,1
Methylenetetrahydrofolate reductase gene mutation,1
Micrognathia,1
Micropenis,3
Microsurgery to hand,1
Monocyte percentage decreased,3
Moraxella infection,3
Muscle hypertrophy,1
Mycobacterial peritonitis,4
Mycobacterium fortuitum infection,5
Myocarditis post infection,2
Myotonic dystrophy,1
Nasal abscess,1
Nasal crusting,2
Nasal mucosal ulcer,1
Nasal polypectomy,1
Natural killer-cell lymphoblastic lymphoma,1
Neonatal anoxia,4
Neonatal respiratory arrest,10
Neoplasm of appendix,1
Nerve stimulation test,1
Nocardiosis,1
Nocturnal dyspnoea,1
Noninfective oophoritis,2
Nontherapeutic agent urine positive,1
Occupational exposure to air contaminants,2
Ocular rosacea,4
Oedematous kidney,1
Oesophageal atresia,10
Oesophageal squamous cell carcinoma stage 0,1
Oesophageal variceal ligation,2
Oesophagitis ulcerative,5
Oestrogen deficiency,3
Office visit,2
Ophthalmological examination,1
Orbital infection,3
Orbitotomy,1
Organ transplant,1
Oropharyngeal scar,2
Orthodontic procedure,1
Otospondylomegaepiphyseal dysplasia,1
Ovarian abscess,4
Ovarian epithelial cancer metastatic,1
Palatal ulcer,3
Pancoast's tumour,1
Pancreatitis haemorrhagic,1
Paranoid personality disorder,3
Parkinsonism hyperpyrexia syndrome,1
Patient restraint,1
Penile abscess,1
Penile haemorrhage,5
Peripheral vein thrombus extension,1
Peritoneal dialysis,1
Persistent foetal circulation,8
Personal relationship issue,1
Pharyngeal dystonia,2
Pharyngitis bacterial,1
Pharynx radiation injury,1
Photorefractive keratectomy,1
Pica,1
Pityriasis,3
Plasma cell myeloma refractory,2
Platelet aggregation abnormal,2
Pleurodesis,1
Pneumomediastinum,3
Pneumopericardium,1
Polycystic liver disease,2
Polydipsia psychogenic,10
Polymenorrhagia,6
Polyneuropathy alcoholic,2
Portal shunt,1
Postpartum depression,1
Prader-Willi syndrome,4
Pregnancy of unknown location,1
Pregnancy test negative,1
Pregnancy test positive,4
Preictal state,2
Premenstrual cramps,1
Product advertising issue,1
Product contamination with body fluid,2
Product dropper issue,1
Progesterone abnormal,1
Progressive supranuclear palsy,3
Prostatic specific antigen abnormal,6
Protein albumin ratio,1
Proteus test positive,1
Pseudogynaecomastia,1
Pseudohyperphosphataemia,1
Pseudomonas test positive,1
Psychomotor disadaptation syndrome,5
Pterygium,1
Pulmonary artery dilatation,4
Pulmonary hypoperfusion,1
Pulmonary valve stenosis congenital,8
Pulse waveform abnormal,1
Purpura fulminans,1
Pyoderma streptococcal,1
Rapid correction of hyponatraemia,1
Rectal ulcer,2
Rectosigmoid cancer,1
Renal artery stenosis,1
Renal cancer recurrent,1
Renal haematoma,1
Retinal occlusive vasculitis,2
Retinal vein thrombosis,3
Reversal of opiate activity,1
Rheumatoid arthritis-associated interstitial lung disease,1
SAPHO syndrome,2
Sacroiliac joint dysfunction,1
Scan,2
Schizophreniform disorder,10
Self-consciousness,2
Self-destructive behaviour,1
Self-induced vomiting,1
Serositis,2
Shone complex,2
Shortened cervix,1
Shwachman-Diamond syndrome,6
Sick leave,1
Sideroblastic anaemia,1
Signet-ring cell carcinoma,1
Sirenomelia,1
Skin pressure mark,1
Skin squamous cell carcinoma metastatic,1
Small intestine gangrene,1
Smooth muscle antibody positive,1
Social stay hospitalisation,1
Soft tissue sarcoma,2
Specific gravity urine increased,1
Spermatogenesis abnormal,1
Spinal cord operation,1
Spinal subarachnoid haemorrhage,1
Spleen operation,2
Splenic cyst,1
Splenic vein thrombosis,2
Staphylococcal scalded skin syndrome,7
Stereotypy,8
Stoma site discomfort,3
Stoma site ulcer,1
Strabismus congenital,1
Subchorionic haematoma,2
Substance dependence,1
Tachyphylaxis,4
Tendon neoplasm,2
Tenodesis,2
Teratoma benign,2
Testicular retraction,1
Thyroglobulin increased,2
Thyroid nodule removal,1
Thyroxin binding globulin increased,1
Thyroxine abnormal,1
Tick removal,1
Tissue infiltration,2
Tobacco abuse,2
Tonsillar haemorrhage,11
Tooth pulp haemorrhage,1
Topical steroid withdrawal reaction,2
Transplant evaluation,3
Trigeminal neuropathy,1
Tubo-ovarian abscess,5
Ultrafiltration failure,1
Underweight,3
Upper airway obstruction,2
Upper respiratory tract endoscopy,2
Upper respiratory tract inflammation,2
Ureteral stent insertion,1
Urethral valves,1
Urine leukocyte esterase,3
Urogram,3
Uterovaginal prolapse,1
Vaccination site discolouration,1
Vaginal flatulence,1
Varicella meningitis,2
Vascular graft thrombosis,2
Vasculitis cerebral,3
Vasoconstriction,1
Venous stent insertion,1
Victim of homicide,1
Visual perseveration,18
Vitreal cells,2
Vocal cord cyst,1
Vocal cord polyp,1
Vulvar dysplasia,1
Vulvar erosion,1
Weight,3
Wound cellulitis,2
pH body fluid decreased,2
Diet noncompliance,4
Lymphatic insufficiency,1
Abscess management,1
Acantholysis,1
Accessory nerve disorder,2
Acid-base balance disorder mixed,1
Acute oesophageal mucosal lesion,1
Acute promyelocytic leukaemia differentiation syndrome,4
Adipomastia,2
Administration site abscess,1
Alveolar-arterial oxygen gradient increased,1
Amniorrhexis,12
Anaesthetic complication vascular,2
Anal dilation procedure,1
Angioimmunoblastic T-cell lymphoma,2
Antiallergic therapy,1
Argininosuccinate synthetase deficiency,1
Artificial blood vessel occlusion,1
Autoimmune inner ear disease,1
Basal ganglion degeneration,1
Behavioural induced insufficient sleep syndrome,3
Beta-N-acetyl-D-glucosaminidase increased,1
Biopsy heart,2
Biopsy intestine,1
Biopsy vocal cord,1
"Bladder cancer stage I, with cancer in situ",1
Bladder trabeculation,1
Blepharitis allergic,1
Blood erythropoietin decreased,1
Blood lead,2
Blood stem cell harvest,1
Blood uric acid decreased,2
Bone sequestrum,2
Bulbospinal muscular atrophy congenital,2
Burkholderia pseudomallei infection,2
Burkholderia test positive,1
Cardiac cirrhosis,1
Carotid angioplasty,1
Carotid artery stent insertion,2
Carotid pulse decreased,1
Cerebral circulatory failure,1
Cholecystocholangitis,1
Chronic throat clearing,1
Citrobacter test positive,1
Complications of transplant surgery,1
Conjunctival filtering bleb leak,2
Contraindication to vaccination,1
Culture wound positive,2
Cyclic neutropenia,1
Cystine urine present,2
Degenerative mitral valve disease,2
Derailment,2
Dermoid cyst,3
Dialysis device insertion,1
Diaphragm muscle weakness,2
Dihydrotestosterone increased,3
Dolichocolon acquired,2
Ear canal erythema,1
Edentulous,1
Endocardial disease,1
Endoscopy upper gastrointestinal tract,2
Erythroleukaemia,1
Foetal-maternal haemorrhage,1
Fracture infection,1
Gait apraxia,1
Gastroenterostomy,1
Gingival cancer,2
Glottis carcinoma,1
Gut fermentation syndrome,1
Hepatitis B reactivation,5
Hepato-lenticular degeneration,1
Herpes zoster meningomyelitis,1
Human herpesvirus 6 infection reactivation,12
Humidity intolerance,6
Hydronephrosis repair,2
Hypercalcaemia of malignancy,2
Hysterosalpingo-oophorectomy,1
Incision site discharge,1
Infective thrombosis,1
Injection site erosion,1
Intestinal metaplasia,1
Intraductal papillary breast neoplasm,1
Irregular sleep phase,1
Labyrinthectomy,1
Lacrimal gland abscess,3
Laryngitis bacterial,4
Lateral patellar compression syndrome,2
Light chain analysis decreased,1
Lobar pneumonia,1
Loefgren syndrome,1
Lung diffusion test abnormal,18
Lung diffusion test decreased,2
Lymphocytic hypophysitis,3
Malabsorption from injection site,1
