pt,no_events_global
Radiation overdose,2
Radiation pancreatitis,1
Radiation pericarditis,3
Radiation pneumonitis,799
Radiation proctitis,26
Radiation proctopathy,1
Radiation related tooth disorder,1
Radiation retinopathy,7
Radiation sickness syndrome,7
Radiation site infection,2
Radiation skin injury,166
Radiation thyroiditis,2
Radiation underdose,2
Radical cystectomy,7
Radical hysterectomy,5
Radical mastectomy,5
Radical orchidectomy,2
Radical prostatectomy,22
Radicular pain,9
Radicular syndrome,3
Radiculitis,4
Radiculitis brachial,12
Radiculopathy,233
Radiculotomy,12
Radioactive iodine therapy,7
Radiochemotherapy,1
Radioembolisation,9
Radiofrequency ablation of oesophagus,2
Radioisotope scan,1
Radioisotope scan abnormal,124
Radioisotope uptake increased,4
Radiologically isolated syndrome,3
Radiotherapy,307
Radiotherapy to adrenal gland,2
Radiotherapy to bone,6
Radiotherapy to brain,9
Radiotherapy to head and neck,1
Radiotherapy to joint,1
Radiotherapy to liver,2
Radiotherapy to lung,1
Radiotherapy to prostate,5
Radiotherapy to thyroid,1
Radiotherapy to tongue,1
Radiotherapy to urinary bladder,1
Radius fracture,221
Rales,124
Raoultella ornithinolytica infection,5
Raoultella test positive,2
Rapid correction of hyponatraemia,50
Rapid eye movement sleep behaviour disorder,76
Rapid eye movements sleep abnormal,37
Rapidly progressive osteoarthritis,19
Rash,79670
Rash erythematous,5176
Rash follicular,20
Rash generalised,3656
Rash macular,4091
Rash maculo-papular,3470
Rash maculovesicular,4
Rash morbilliform,457
Rash neonatal,6
Rash papular,2476
Rash papulosquamous,15
Rash pruritic,7651
Rash pustular,587
Rash rubelliform,2
Rash scarlatiniform,16
Rash vesicular,588
Rasmussen encephalitis,4
Rathke's cleft cyst,9
Raynaud's phenomenon,701
Raynaud's phenomenon of the nipple,1
Reaction to azo-dyes,15
Reaction to colouring,61
Reaction to drug excipients,158
Reaction to excipient,377
Reaction to flavouring,3
Reaction to food additive,9
Reaction to food colouring,4
Reaction to preservatives,119
Reaction to previous exposure to any vaccine,1
Reaction to sweetener,5
Reactive airways dysfunction syndrome,2
Reactive angioendotheliomatosis,1
Reactive attachment disorder,1
Reactive attachment disorder of infancy or early childhood,1
Reactive capillary endothelial proliferation,3
Reactive gastropathy,25
Reactive perforating collagenosis,10
Reactive psychosis,3
Reading disorder,225
Rebound acid hypersecretion,392
Rebound atopic dermatitis,109
Rebound eczema,143
Rebound effect,1013
Rebound nasal congestion,23
Rebound psoriasis,292
Rebound psychosis,38
Rebound tachycardia,5
Recalled product,211
Recalled product administered,1302
Recall phenomenon,164
Recrudescent typhus,2
Rectal abscess,295
Rectal adenocarcinoma,218
Rectal adenoma,15
Rectal atresia,1
Rectal cancer,892
Rectal cancer metastatic,82
Rectal cancer recurrent,10
Rectal cancer stage 0,4
Rectal cancer stage I,10
Rectal cancer stage II,17
Rectal cancer stage III,24
Rectal cancer stage IV,20
Rectal discharge,330
Rectal dysplasia,2
Rectal fissure,40
Rectal haemorrhage,6386
Rectal injury,7
Rectal laceration postoperative,1
Rectal lesion,5
Rectal lesion excision,1
Rectal neoplasm,66
Rectal obstruction,12
Rectal perforation,81
Rectal polyp,63
Rectal polypectomy,4
Rectal prolapse,129
Rectal prolapse repair,6
Rectal spasm,20
Rectal stenosis,63
Rectal tenesmus,54
Rectal tube insertion,1
Rectal ulcer,105
Rectal ulcer haemorrhage,44
Rectocele,25
Rectocele repair,3
Rectosigmoid cancer,48
Rectosigmoid cancer metastatic,11
Rectosigmoid cancer stage I,1
Rectosigmoid cancer stage III,1
Rectosigmoid cancer stage IV,2
Rectourethral fistula,4
Rectovaginal septum abscess,4
Recurrence of neuromuscular blockade,38
Recurrent cancer,854
Recurrent pyogenic cholangitis,2
Red blood cell abnormality,98
Red blood cell agglutination,4
Red blood cell burr cells present,1
Red blood cell count,2
Red blood cell count abnormal,157
Red blood cell count decreased,2284
Red blood cell count increased,216
Red blood cell elliptocytes present,5
Red blood cell enzymes abnormal,1
Red blood cell hyperchromic morphology,3
Red blood cell microcytes,1
Red blood cell microcytes present,1
Red blood cell morphology abnormal,9
Red blood cell nucleated morphology present,11
Red blood cell schistocytes,1
Red blood cell schistocytes present,3
Red blood cell sedimentation rate,6
Red blood cell sedimentation rate abnormal,47
Red blood cell sedimentation rate decreased,22
Red blood cell sedimentation rate increased,346
Red blood cell sickled cells present,1
Red blood cells urine,6
Red blood cells urine positive,24
Red blood cell target cells present,1
Red blood cell transfusion,48
Red blood cell vacuolisation,2
Red cell distribution width,1
Red cell distribution width abnormal,4
Red cell distribution width decreased,6
Red cell distribution width increased,126
Red cell fragmentation syndrome,2
Red ear syndrome,1
Red man syndrome,184
Reduced bladder capacity,7
Reduced facial expression,44
Reexpansion pulmonary oedema,1
Refeeding syndrome,20
Reflexes abnormal,21
Reflux gastritis,80
Reflux laryngitis,28
Reflux nephropathy,3
Refraction disorder,36
Refractive amblyopia,2
Refractoriness to platelet transfusion,15
Refractory anaemia with an excess of blasts,93
Refractory anaemia with ringed sideroblasts,7
Refractory cancer,36
Refractory cytopenia with multilineage dysplasia,36
Refractory cytopenia with unilineage dysplasia,51
Refusal of examination,16
Refusal of treatment by patient,771
Refusal of treatment by relative,19
Regional chemotherapy,1
Regressive behaviour,24
Regurgitation,191
Rehabilitation therapy,1132
Reinfusion,1
Reiter's syndrome,11
Relapsing fever,27
Relapsing multiple sclerosis,93
Relapsing-remitting multiple sclerosis,146
Remission not achieved,210
Remnant gastritis,1
Removal of ambulatory peritoneal catheter,1
Removal of foreign body,9
Removal of foreign body from eye,2
Removal of foreign body from gastrointestinal tract,2
Removal of foreign body from oesophagus,1
Removal of foreign body from throat,1
Removal of inert matter from skin or subcutaneous tissue,3
Removal of internal fixation,10
Removal of renal transplant,8
Removal of transplanted organ,1
Renal abscess,130
Renal adenoma,13
Renal amyloidosis,24
Renal and pancreas transplant rejection,2
Renal aneurysm,22
Renal aplasia,71
Renal arteriosclerosis,12
Renal arteriovenous malformation,1
Renal arteritis,3
Renal artery angioplasty,4
Renal artery arteriosclerosis,5
Renal artery dissection,10
Renal artery embolisation,3
Renal artery fibromuscular dysplasia,2
Renal artery occlusion,16
Renal artery perforation,1
Renal artery stenosis,108
Renal artery stent placement,22
Renal artery thrombosis,31
Renal atrophy,61
Renal cancer,36946
Renal cancer metastatic,106
Renal cancer recurrent,35
Renal cancer stage I,2311
Renal cancer stage II,1564
Renal cancer stage III,1530
Renal cancer stage IV,1872
Renal cell carcinoma,843
Renal cell carcinoma recurrent,23
Renal cell carcinoma stage I,28
Renal cell carcinoma stage II,8
Renal cell carcinoma stage III,7
Renal cell carcinoma stage IV,11
Renal colic,339
Renal cortical necrosis,27
Renal cyst,377
Renal cyst aspiration,1
Renal cyst excision,2
Renal cyst haemorrhage,33
Renal cyst infection,41
Renal cyst ruptured,12
Renal disorder,8334
Renal disorder in pregnancy,3
Renal dysplasia,29
Renal embolism,9
Renal failure,18313
Renal failure acute,299
Renal failure chronic,57
Renal failure neonatal,7
Renal function test,2
Renal function test abnormal,607
Renal function test normal,1
Renal fusion anomaly,11
Renal glycosuria,4
Renal graft infection,23
Renal haemangioma,4
Renal haematoma,94
Renal haemorrhage,343
Renal hamartoma,13
Renal hydrocele,7
Renal hypertension,21
Renal hypertrophy,10
Renal hypoplasia,10
Renal impairment,14319
Renal impairment neonatal,8
Renal infarct,229
Renal injury,12190
Renal ischaemia,26
Renal-limited thrombotic microangiopathy,40
Renal lipoma,2
Renal lymphocele,13
Renal mass,266
Renal necrosis,11
Renal neoplasm,511
Renal oncocytoma,32
Renal osteodystrophy,1
Renal pain,938
Renal papillary necrosis,32
Renal pelvis fistula,1
Renal phospholipidosis,41
Renal procedural complication,3
Renal pseudoaneurysm,4
Renal replacement therapy,10
Renal salt-wasting syndrome,132
Renal scan abnormal,12
Renal stone removal,109
Renal surgery,153
Renal transplant,898
Renal transplant failure,162
Renal transplant torsion,2
Renal tuberculosis,19
Renal tubular acidosis,372
Renal tubular atrophy,28
Renal tubular disorder,338
Renal tubular dysfunction,130
Renal tubular injury,120
Renal tubular necrosis,899
Renal tumour excision,14
Renal vascular resistance increased,1
Renal vascular thrombosis,26
Renal vasculitis,48
Renal vein compression,5
Renal vein embolism,5
Renal vein occlusion,2
Renal vein stenosis,1
Renal vein thrombosis,53
Renal vessel congenital anomaly,1
Renal vessel disorder,18
Renin-angiotensin system inhibition,1
Renin increased,15
Renovascular hypertension,3
Reocclusion,25
Re-opening of ductus arteriosus,2
Reperfusion arrhythmia,11
Reperfusion injury,4
Repetitive speech,24
Repetitive strain injury,16
Replacement of ambulatory peritoneal catheter,1
Reproductive complication associated with device,186
Reproductive hormone,1
Reproductive toxicity,14
Reproductive tract anastomotic leak,1
Reproductive tract disorder,31
Reproductive tract procedural complication,1
Resection of rectum,1
Residual urine volume decreased,2
Residual urine volume increased,19
Resorption bone increased,38
Respiration abnormal,887
Respiratory acidosis,148
Respiratory alkalosis,59
Respiratory arrest,1543
Respiratory complication associated with device,1
Respiratory depression,1009
Respiratory depth decreased,2
Respiratory depth increased,1
Respiratory disorder,3454
Respiratory disorder neonatal,90
Respiratory distress,2196
Respiratory dyskinesia,15
Respiratory failure,6209
Respiratory fatigue,16
Respiratory fume inhalation disorder,25
Respiratory gas exchange disorder,11
Respiratory moniliasis,17
Respiratory muscle weakness,15
Respiratory papilloma,7
Respiratory paralysis,16
Respiratory rate,3
Respiratory rate decreased,150
Respiratory rate increased,263
Respiratory symptom,307
Respiratory syncytial virus bronchiolitis,139
Respiratory syncytial virus bronchitis,21
Respiratory syncytial virus infection,2201
Respiratory syncytial virus test,6
Respiratory syncytial virus test negative,1
Respiratory syncytial virus test positive,117
Respiratory therapy,17
Respiratory tract congestion,1041
Respiratory tract haemorrhage,65
Respiratory tract haemorrhage neonatal,1
Respiratory tract infection,4343
Respiratory tract infection bacterial,73
Respiratory tract infection fungal,75
Respiratory tract infection viral,372
Respiratory tract inflammation,27
Respiratory tract irritation,90
Respiratory tract malformation,3
Respiratory tract neoplasm,6
Respiratory tract oedema,90
Respiratory tract operation,1
Respiratory tract procedural complication,4
Respiratory tract ulceration,3
Respirovirus test positive,4
Respite care,11
Restenosis,22
Resting tremor,65
Restless arm syndrome,17
Restless leg augmentation syndrome,2
Restless legs syndrome,1806
Restlessness,1608
Rest regimen,2
Restrictive allograft syndrome,3
Restrictive cardiomyopathy,43
Restrictive pulmonary disease,59
Resuscitation,68
Retained placenta operation,2
Retained placenta or membranes,30
Retained products of conception,33
Retching,1414
Retention cyst,2
RET gene mutation,2
Reticular erythematous mucinosis,1
Reticulin increased,6
Reticulocyte count abnormal,1
Reticulocyte count decreased,14
Reticulocyte count increased,18
Reticulocytopenia,10
Reticulocytosis,7
Reticuloendothelial dysfunction,1
Retinal aneurysm,36
Retinal aneurysm rupture,3
Retinal anomaly congenital,1
Retinal artery embolism,28
Retinal artery occlusion,525
Retinal artery spasm,2
Retinal artery stenosis,5
Retinal artery thrombosis,47
Retinal cryoablation,1
Retinal cyst,21
Retinal degeneration,224
Retinal depigmentation,62
Retinal deposits,38
Retinal detachment,2049
Retinal disorder,316
Retinal drusen,22
Retinal dystrophy,94
Retinal exudates,128
Retinal fibrosis,10
Retinal fovea disorder,3
Retinal function test abnormal,1
Retinal haemorrhage,1153
Retinal implant,1
Retinal infarction,35
Retinal infiltrates,5
Retinal injury,149
Retinal ischaemia,61
Retinal laser coagulation,4
Retinal melanoma,5
Retinal microangiopathy,2
Retinal migraine,13
Retinal neoplasm,3
Retinal neovascularisation,39
Retinal occlusive vasculitis,33
Retinal oedema,297
Retinal operation,54
Retinal pallor,1
Retinal perivascular sheathing,21
Retinal phototoxicity,30
Retinal pigmentation,842
Retinal pigment epithelial tear,114
Retinal pigment epitheliopathy,119
Retinal scar,19
Retinal tear,411
Retinal telangiectasia,2
Retinal thickening,50
Retinal toxicity,273
Retinal vascular disorder,64
Retinal vascular occlusion,171
Retinal vascular thrombosis,95
Retinal vasculitis,240
Retinal vein occlusion,660
Retinal vein thrombosis,116
Retinal white dots syndrome,2
Retinitis,104
Retinitis histoplasma,1
Retinitis pigmentosa,52
Retinitis viral,14
Retinoblastoma,23
Retinogram abnormal,70
Retinoic acid syndrome,11
Retinopathy,752
Retinopathy haemorrhagic,12
Retinopathy hypertensive,21
Retinopathy of prematurity,92
Retinopathy proliferative,32
Retinopathy sickle cell,2
Retinopathy solar,5
Retinopexy,13
Retinoschisis,24
Retinoschisis congenital,3
Retirement,2
Retracted nipple,5
Retrognathia,11
Retrograde amnesia,20
Retrograde ejaculation,206
Retro-orbital neoplasm,6
Retroperitoneal abscess,23
Retroperitoneal cancer,6
Retroperitoneal disorder,1
Retroperitoneal fibrosis,133
Retroperitoneal haematoma,290
Retroperitoneal haemorrhage,404
Retroperitoneal infection,1
Retroperitoneal lymphadenopathy,13
Retroperitoneal mass,9
Retroperitoneal neoplasm,9
Retroperitoneal neoplasm metastatic,2
Retroperitoneal oedema,2
Retroperitoneum cyst,2
Retroperitonitis,2
Retroplacental haematoma,18
Retroviral infection,2
Retroviral rebound syndrome,4
Rett syndrome,1
Revascularisation procedure,6
Reversal of opiate activity,2
Reversal of sedation,3
Reversed hot-cold sensation,2
Reverse tri-iodothyronine,1
Reverse tri-iodothyronine increased,1
Reversible airways obstruction,72
Reversible cerebral vasoconstriction syndrome,780
Reversible ischaemic neurological deficit,7
Reversible splenial lesion syndrome,34
Reye's syndrome,37
Reynold's syndrome,16
Rhabdoid tumour,5
Rhabdoid tumour of the kidney,2
Rhabdomyolysis,4864
Rhabdomyoma,3
Rhabdomyosarcoma,32
Rhabdomyosarcoma recurrent,9
Rhegmatogenous retinal detachment,69
Rhesus antibodies,11
Rhesus antibodies positive,33
Rhesus antigen negative,1
Rhesus haemolytic disease of newborn,3
Rhesus incompatibility,13
Rheumatic disorder,255
Rheumatic fever,65
Rheumatic heart disease,11
Rheumatoid arthritis,14588
Rheumatoid arthritis-associated interstitial lung disease,14
Rheumatoid factor,2
Rheumatoid factor decreased,2
Rheumatoid factor increased,66
Rheumatoid factor negative,3
Rheumatoid factor positive,89
Rheumatoid factor quantitative increased,4
Rheumatoid lung,83
Rheumatoid meningitis,6
Rheumatoid neutrophilic dermatosis,2
Rheumatoid nodule,278
Rheumatoid nodule removal,1
Rheumatoid pleuritis,1
Rheumatoid vasculitis,28
Rhinalgia,217
Rhinectomy,2
Rhinitis,528
Rhinitis allergic,196
Rhinitis atrophic,1
Rhinocerebral mucormycosis,108
Rhinolithiasis,1
Rhinophyma,5
Rhinoplasty,10
Rhinorrhoea,5833
Rhinovirus infection,571
Rhodococcus infection,12
Rhonchi,27
Rhythm idioventricular,23
Rib deformity,14
Rib excision,6
Rib fracture,1554
Rib hypoplasia,1
Rib synostosis,1
Richter's syndrome,272
Rickets,19
Rickettsiosis,4
Rift Valley fever,2
Right aortic arch,4
Right atrial dilatation,7
Right atrial enlargement,5
